Land,Jahr,Population
Baden-Württemberg,1999,10475932
Baden-Württemberg,2000,10524415
Baden-Württemberg,2001,10600906
Baden-Württemberg,2002,10661320
Baden-Württemberg,2003,10692556
Baden-Württemberg,2004,10717419
Baden-Württemberg,2005,10735701
Baden-Württemberg,2006,10738753
Baden-Württemberg,2007,10749755
Baden-Württemberg,2008,10749506
Baden-Württemberg,2009,10744921
Baden-Württemberg,2010,10753880
Baden-Württemberg,2011,10512441
Baden-Württemberg,2012,10569111
Baden-Württemberg,2013,10631278
Bayern,1999,12154967
Bayern,2000,12230255
Bayern,2001,12329714
Bayern,2002,12387351
Bayern,2003,12423386
Bayern,2004,12443893
Bayern,2005,12468726
Bayern,2006,12492658
Bayern,2007,12520332
Bayern,2008,12519728
Bayern,2009,12510331
Bayern,2010,12538696
Bayern,2011,12443372
Bayern,2012,12519571
Bayern,2013,12604244
Berlin,1999,3386667
Berlin,2000,3382169
Berlin,2001,3388434
Berlin,2002,3392425
Berlin,2003,3388477
Berlin,2004,3387828
Berlin,2005,3395189
Berlin,2006,3404037
Berlin,2007,3416255
Berlin,2008,3431675
Berlin,2009,3442675
Berlin,2010,3460725
Berlin,2011,3326002
Berlin,2012,3375222
Berlin,2013,3421829
Brandenburg,1999,2601207
Brandenburg,2000,2601962
Brandenburg,2001,2593040
Brandenburg,2002,2582379
Brandenburg,2003,2574521
Brandenburg,2004,2567704
Brandenburg,2005,2559483
Brandenburg,2006,2547772
Brandenburg,2007,2535737
Brandenburg,2008,2522493
Brandenburg,2009,2511525
Brandenburg,2010,2503273
Brandenburg,2011,2453180
Brandenburg,2012,2449511
Brandenburg,2013,2449193
Bremen,1999,663065
Bremen,2000,660225
Bremen,2001,659651
Bremen,2002,662098
Bremen,2003,663129
Bremen,2004,663213
Bremen,2005,663467
Bremen,2006,663979
Bremen,2007,663082
Bremen,2008,661866
Bremen,2009,661716
Bremen,2010,660706
Bremen,2011,652182
Bremen,2012,654774
Bremen,2013,657391
Hamburg,1999,1704735
Hamburg,2000,1715392
Hamburg,2001,1726363
Hamburg,2002,1728806
Hamburg,2003,1734083
Hamburg,2004,1734830
Hamburg,2005,1743627
Hamburg,2006,1754182
Hamburg,2007,1770629
Hamburg,2008,1772100
Hamburg,2009,1774224
Hamburg,2010,1786448
Hamburg,2011,1718187
Hamburg,2012,1734272
Hamburg,2013,1746342
Hessen,1999,6051966
Hessen,2000,6068129
Hessen,2001,6077826
Hessen,2002,6091618
Hessen,2003,6089428
Hessen,2004,6097765
Hessen,2005,6092354
Hessen,2006,6075359
Hessen,2007,6072555
Hessen,2008,6064953
Hessen,2009,6061951
Hessen,2010,6067021
Hessen,2011,5993771
Hessen,2012,6016481
Hessen,2013,6045425
Mecklenburg-Vorpommern,1999,1789322
Mecklenburg-Vorpommern,2000,1775703
Mecklenburg-Vorpommern,2001,1759877
Mecklenburg-Vorpommern,2002,1744624
Mecklenburg-Vorpommern,2003,1732226
Mecklenburg-Vorpommern,2004,1719653
Mecklenburg-Vorpommern,2005,1707266
Mecklenburg-Vorpommern,2006,1693754
Mecklenburg-Vorpommern,2007,1679682
Mecklenburg-Vorpommern,2008,1664356
Mecklenburg-Vorpommern,2009,1651216
Mecklenburg-Vorpommern,2010,1642327
Mecklenburg-Vorpommern,2011,1606899
Mecklenburg-Vorpommern,2012,1600327
Mecklenburg-Vorpommern,2013,1596505
Niedersachsen,1999,7898760
Niedersachsen,2000,7926193
Niedersachsen,2001,7956416
Niedersachsen,2002,7980472
Niedersachsen,2003,7993415
Niedersachsen,2004,8000909
Niedersachsen,2005,7993946
Niedersachsen,2006,7982685
Niedersachsen,2007,7971684
Niedersachsen,2008,7947244
Niedersachsen,2009,7928815
Niedersachsen,2010,7918293
Niedersachsen,2011,7774253
Niedersachsen,2012,7778995
Niedersachsen,2013,7790559
Nordrhein-Westfalen,1999,17999800
Nordrhein-Westfalen,2000,18009865
Nordrhein-Westfalen,2001,18052092
Nordrhein-Westfalen,2002,18076355
Nordrhein-Westfalen,2003,18079686
Nordrhein-Westfalen,2004,18075352
Nordrhein-Westfalen,2005,18058105
Nordrhein-Westfalen,2006,18028745
Nordrhein-Westfalen,2007,17996621
Nordrhein-Westfalen,2008,17933064
Nordrhein-Westfalen,2009,17872763
Nordrhein-Westfalen,2010,17845154
Nordrhein-Westfalen,2011,17544938
Nordrhein-Westfalen,2012,17554329
Nordrhein-Westfalen,2013,17571856
Rheinland-Pfalz,1999,4030773
Rheinland-Pfalz,2000,4034557
Rheinland-Pfalz,2001,4049066
Rheinland-Pfalz,2002,4057727
Rheinland-Pfalz,2003,4058682
Rheinland-Pfalz,2004,4061105
Rheinland-Pfalz,2005,4058843
Rheinland-Pfalz,2006,4052860
Rheinland-Pfalz,2007,4045643
Rheinland-Pfalz,2008,4028351
Rheinland-Pfalz,2009,4012675
Rheinland-Pfalz,2010,4003745
Rheinland-Pfalz,2011,3990033
Rheinland-Pfalz,2012,3990278
Rheinland-Pfalz,2013,3994366
Saarland,1999,1071501
Saarland,2000,1068703
Saarland,2001,1066470
Saarland,2002,1064988
Saarland,2003,1061376
Saarland,2004,1056417
Saarland,2005,1050293
Saarland,2006,1043167
Saarland,2007,1036598
Saarland,2008,1030324
Saarland,2009,1022585
Saarland,2010,1017567
Saarland,2011,997855
Saarland,2012,994287
Saarland,2013,990718
Sachsen,1999,4459686
Sachsen,2000,4425581
Sachsen,2001,4384192
Sachsen,2002,4349059
Sachsen,2003,4321437
Sachsen,2004,4296284
Sachsen,2005,4273754
Sachsen,2006,4249774
Sachsen,2007,4220200
Sachsen,2008,4192801
Sachsen,2009,4168732
Sachsen,2010,4149477
Sachsen,2011,4054182
Sachsen,2012,4050204
Sachsen,2013,4046385
Sachsen-Anhalt,1999,2648737
Sachsen-Anhalt,2000,2615375
Sachsen-Anhalt,2001,2580626
Sachsen-Anhalt,2002,2548911
Sachsen-Anhalt,2003,2522941
Sachsen-Anhalt,2004,2494437
Sachsen-Anhalt,2005,2469716
Sachsen-Anhalt,2006,2441787
Sachsen-Anhalt,2007,2412472
Sachsen-Anhalt,2008,2381872
Sachsen-Anhalt,2009,2356219
Sachsen-Anhalt,2010,2335006
Sachsen-Anhalt,2011,2276736
Sachsen-Anhalt,2012,2259393
Sachsen-Anhalt,2013,2244577
Schleswig-Holstein,1999,2777275
Schleswig-Holstein,2000,2789761
Schleswig-Holstein,2001,2804249
Schleswig-Holstein,2002,2816507
Schleswig-Holstein,2003,2823171
Schleswig-Holstein,2004,2828760
Schleswig-Holstein,2005,2832950
Schleswig-Holstein,2006,2834254
Schleswig-Holstein,2007,2837373
Schleswig-Holstein,2008,2834260
Schleswig-Holstein,2009,2832027
Schleswig-Holstein,2010,2834259
Schleswig-Holstein,2011,2802266
Schleswig-Holstein,2012,2806531
Schleswig-Holstein,2013,2815955
Thüringen,1999,2449082
Thüringen,2000,2431255
Thüringen,2001,2411387
Thüringen,2002,2392040
Thüringen,2003,2373157
Thüringen,2004,2355280
Thüringen,2005,2334575
Thüringen,2006,2311140
Thüringen,2007,2289219
Thüringen,2008,2267763
Thüringen,2009,2249882
Thüringen,2010,2235025
Thüringen,2011,2181603
Thüringen,2012,2170460
Thüringen,2013,2160840
